styleName,styleNamePinYin,styleNameShorthand
2019款 2.0T 手动VAN前驱单胎长轴高顶3座,2019kuan 2.0t shoudongvanqianqudantaichangzhougaoding3zuo,2019k 2.0t sdvanqqdtczgd3z
2019款 2.0T 手动VAN后驱双胎加长轴高顶3座,2019kuan 2.0t shoudongvanhouqushuangtaijiachangzhougaoding3zuo,2019k 2.0t sdvanhqstjczgd3z
2019款 2.0T 手动VAN后驱双胎加长轴超高顶3座,2019kuan 2.0t shoudongvanhouqushuangtaijiachangzhouchaogaoding3zuo,2019k 2.0t sdvanhqstjczcgd3z
2019款 2.0T 手动VAN后驱单胎长轴高顶3座,2019kuan 2.0t shoudongvanhouqudantaichangzhougaoding3zuo,2019k 2.0t sdvanhqdtczgd3z
2019款 2.0T 两驱精锐版加长轴距4K21D4T,2019kuan 2.0t liangqujingruibanjiachangzhouju4k21d4t,2019k 2.0t lqjrbjczj4k21d4t
2019款 2.0T 两驱豪华版加长轴距4K21D4T,2019kuan 2.0t liangquhaohuabanjiachangzhouju4k21d4t,2019k 2.0t lqhhbjczj4k21d4t
2019款 2.0T 两驱都市尊享版,2019kuan 2.0t liangqudushizunxiangban,2019k 2.0t lqdszxb
2019款 2.0T 两驱超豪华版加长轴距4K21D4T,2019kuan 2.0t liangquchaohaohuabanjiachangzhouju4k21d4t,2019k 2.0t lqchhbjczj4k21d4t
2019款 2.0T Plus AMT厢式货车VAN长轴中顶2-3座,2019kuan 2.0t plus amtxiangshihuochevanchangzhouzhongding2-3zuo,2019k 2.0t plus amtxshcvanczzd2-3z
2019款 2.0T Plus AMT厢式货车VAN长轴高顶2-3座,2019kuan 2.0t plus amtxiangshihuochevanchangzhougaoding2-3zuo,2019k 2.0t plus amtxshcvanczgd2-3z
2019款 2.0T Plus AMT商旅版长轴中顶14/15座,2019kuan 2.0t plus amtshanglvbanchangzhouzhongding14/15zuo,2019k 2.0t plus amtslbczzd14/15z
2019款 2.0T Plus AMT商旅版加长轴中顶17/18座,2019kuan 2.0t plus amtshanglvbanjiachangzhouzhongding17/18zuo,2019k 2.0t plus amtslbjczzd17/18z
2019款 2.0T Plus AMT商旅版加长轴高顶17/18座,2019kuan 2.0t plus amtshanglvbanjiachangzhougaoding17/18zuo,2019k 2.0t plus amtslbjczgd17/18z
2019款 2.0T Plus AMT傲运通长轴中顶7座,2019kuan 2.0t plus amtaoyuntongchangzhouzhongding7zuo,2019k 2.0t plus amtaytczzd7z
2019款 2.0T Plus AMT傲运通长轴中顶10座,2019kuan 2.0t plus amtaoyuntongchangzhouzhongding10zuo,2019k 2.0t plus amtaytczzd10z
2019款 2.0T Plus AMT傲运通长轴高顶7座,2019kuan 2.0t plus amtaoyuntongchangzhougaoding7zuo,2019k 2.0t plus amtaytczgd7z
2019款 2.0T Plus AMT傲运通长轴高顶10座,2019kuan 2.0t plus amtaoyuntongchangzhougaoding10zuo,2019k 2.0t plus amtaytczgd10z
2019款 2.0T Plus 6挡手动厢式货车VAN长轴中顶2-3座,2019kuan 2.0t plus 6dangshoudongxiangshihuochevanchangzhouzhongding2-3zuo,2019k 2.0t plus 6dsdxshcvanczzd2-3z
2019款 2.0T Plus 6挡手动厢式货车VAN长轴高顶2-3座,2019kuan 2.0t plus 6dangshoudongxiangshihuochevanchangzhougaoding2-3zuo,2019k 2.0t plus 6dsdxshcvanczgd2-3z
2019款 2.0T Plus 6挡手动商旅版长轴中顶14/15座,2019kuan 2.0t plus 6dangshoudongshanglvbanchangzhouzhongding14/15zuo,2019k 2.0t plus 6dsdslbczzd14/15z
2019款 2.0T Plus 6挡手动商旅版加长轴中顶17/18座,2019kuan 2.0t plus 6dangshoudongshanglvbanjiachangzhouzhongding17/18zuo,2019k 2.0t plus 6dsdslbjczzd17/18z
2019款 2.0T Plus 6挡手动商旅版加长轴高顶17/18座,2019kuan 2.0t plus 6dangshoudongshanglvbanjiachangzhougaoding17/18zuo,2019k 2.0t plus 6dsdslbjczgd17/18z
2019款 2.0T Plus 6挡手动傲运通长轴中顶7座,2019kuan 2.0t plus 6dangshoudongaoyuntongchangzhouzhongding7zuo,2019k 2.0t plus 6dsdaytczzd7z
2019款 2.0T Plus 6挡手动傲运通长轴中顶10座,2019kuan 2.0t plus 6dangshoudongaoyuntongchangzhouzhongding10zuo,2019k 2.0t plus 6dsdaytczzd10z
2019款 2.0T Plus 6挡手动傲运通长轴高顶7座,2019kuan 2.0t plus 6dangshoudongaoyuntongchangzhougaoding7zuo,2019k 2.0t plus 6dsdaytczgd7z
2019款 2.0T Plus 6挡手动傲运通长轴高顶10座,2019kuan 2.0t plus 6dangshoudongaoyuntongchangzhougaoding10zuo,2019k 2.0t plus 6dsdaytczgd10z
2019款 2.0T E7 手动四驱静享版中配长箱4F20TC2,2019kuan 2.0t e7 shoudongsiqujingxiangbanzhongpeichangxiang4f20tc2,2019k 2.0t e7 sdsqjxbzpcx4f20tc2
2019款 2.0T E7 手动四驱静享版高配长箱4F20TC2,2019kuan 2.0t e7 shoudongsiqujingxiangbangaopeichangxiang4f20tc2,2019k 2.0t e7 sdsqjxbgpcx4f20tc2
2019款 2.0T E7 手动两驱静享版中配长箱4F20TC2,2019kuan 2.0t e7 shoudongliangqujingxiangbanzhongpeichangxiang4f20tc2,2019k 2.0t e7 sdlqjxbzpcx4f20tc2
2019款 2.0T E7 手动两驱静享版高配长箱4F20TC2,2019kuan 2.0t e7 shoudongliangqujingxiangbangaopeichangxiang4f20tc2,2019k 2.0t e7 sdlqjxbgpcx4f20tc2
2019款 2.0T AMT智多星前驱单胎长轴高顶7座,2019kuan 2.0t amtzhiduoxingqianqudantaichangzhougaoding7zuo,2019k 2.0t amtzdxqqdtczgd7z
2019款 2.0L汽油厢货版龙运GL850长轴高顶XC4G20,2019kuan 2.0lqiyouxianghuobanlongyungl850changzhougaodingxc4g20,2019k 2.0lqyxhblygl850czgdxc4g20
2019款 2.0L汽油厢货版龙运GL850长轴高顶V20,2019kuan 2.0lqiyouxianghuobanlongyungl850changzhougaodingv20,2019k 2.0lqyxhblygl850czgdv20
2019款 2.0L汽油版长轴高顶XC4G20,2019kuan 2.0lqiyoubanchangzhougaodingxc4g20,2019k 2.0lqybczgdxc4g20
2019款 2.0L汽油版长轴高顶V20,2019kuan 2.0lqiyoubanchangzhougaodingv20,2019k 2.0lqybczgdv20
2019款 2.0L汽油版长轴高顶V19,2019kuan 2.0lqiyoubanchangzhougaodingv19,2019k 2.0lqybczgdv19
2019款 2.0L CVT两驱都市版 国VI,2019kuan 2.0l cvtliangqudushiban guovi,2019k 2.0l cvtlqdsb gvi
2019款 180TSI 珍藏版,2019kuan 180tsi zhencangban,2019k 180tsi zcb
2019款 1.8L 手动都市型 7座,2019kuan 1.8l shoudongdushixing 7zuo,2019k 1.8l sddsx 7z
2019款 1.8L PLUS中配型双排后双轮加长货箱,2019kuan 1.8l pluszhongpeixingshuangpaihoushuanglunjiachanghuoxiang,2019k 1.8l pluszpxsphsljchx
2019款 1.8L PLUS中配型排半后双轮加长货箱,2019kuan 1.8l pluszhongpeixingpaibanhoushuanglunjiachanghuoxiang,2019k 1.8l pluszpxpbhsljchx
2019款 1.8L PLUS中配型单排后双轮加长货箱,2019kuan 1.8l pluszhongpeixingdanpaihoushuanglunjiachanghuoxiang,2019k 1.8l pluszpxdphsljchx
2019款 1.8L PLUS舒适型双排后双轮加长货箱,2019kuan 1.8l plusshushixingshuangpaihoushuanglunjiachanghuoxiang,2019k 1.8l plusssxsphsljchx
2019款 1.8L PLUS舒适型排半后双轮加长货箱,2019kuan 1.8l plusshushixingpaibanhoushuanglunjiachanghuoxiang,2019k 1.8l plusssxpbhsljchx
2019款 1.8L PLUS舒适型单排后双轮加长货箱,2019kuan 1.8l plusshushixingdanpaihoushuanglunjiachanghuoxiang,2019k 1.8l plusssxdphsljchx
2019款 1.8L PLUS标准型双排后双轮加长货箱,2019kuan 1.8l plusbiaozhunxingshuangpaihoushuanglunjiachanghuoxiang,2019k 1.8l plusbzxsphsljchx
2019款 1.8L PLUS标准型排半后双轮加长货箱,2019kuan 1.8l plusbiaozhunxingpaibanhoushuanglunjiachanghuoxiang,2019k 1.8l plusbzxpbhsljchx
2019款 1.8L PLUS标准型单排后双轮加长货箱,2019kuan 1.8l plusbiaozhunxingdanpaihoushuanglunjiachanghuoxiang,2019k 1.8l plusbzxdphsljchx
2019款 1.6TGDI 自动劲版,2019kuan 1.6tgdi zidongjinban,2019k 1.6tgdi zdjb
2019款 1.6TGDI 手动劲版,2019kuan 1.6tgdi shoudongjinban,2019k 1.6tgdi sdjb
2019款 1.6L中配型双排后双轮加长货箱双燃料DAM16KRC,2019kuan 1.6lzhongpeixingshuangpaihoushuanglunjiachanghuoxiangshuangranliaodam16krc,2019k 1.6lzpxsphsljchxsrldam16krc
2019款 1.6L舒适型双排后双轮加长货箱双燃料DAM16KRC,2019kuan 1.6lshushixingshuangpaihoushuanglunjiachanghuoxiangshuangranliaodam16krc,2019k 1.6lssxsphsljchxsrldam16krc
2019款 1.6L标准型双排后双轮加长货箱双燃料DAM16KRC,2019kuan 1.6lbiaozhunxingshuangpaihoushuanglunjiachanghuoxiangshuangranliaodam16krc,2019k 1.6lbzxsphsljchxsrldam16krc
2019款 1.6L 自动劲享版,2019kuan 1.6l zidongjinxiangban,2019k 1.6l zdjxb
2019款 1.6L 手动劲享版,2019kuan 1.6l shoudongjinxiangban,2019k 1.6l sdjxb
2019款 1.5TD DCT劲版 国VI,2019kuan 1.5td dctjinban guovi,2019k 1.5td dctjb gvi
2019款 1.5TD DCT劲Pro版 国VI,2019kuan 1.5td dctjinproban guovi,2019k 1.5td dctjprob gvi
2019款 1.5TCI 手动都市型,2019kuan 1.5tci shoudongdushixing,2019k 1.5tci sddsx
2019款 1.5T 自动两驱都市型 国VI,2019kuan 1.5t zidongliangqudushixing guovi,2019k 1.5t zdlqdsx gvi
2019款 1.5T 自动两驱都市型 国V,2019kuan 1.5t zidongliangqudushixing guov,2019k 1.5t zdlqdsx gv
2019款 1.5T 手动长轴尊享型 9座,2019kuan 1.5t shoudongchangzhouzunxiangxing 9zuo,2019k 1.5t sdczzxx 9z
2019款 1.5T 手动长轴尊享型 7座,2019kuan 1.5t shoudongchangzhouzunxiangxing 7zuo,2019k 1.5t sdczzxx 7z
2019款 1.5T 手动长轴豪华型 9座,2019kuan 1.5t shoudongchangzhouhaohuaxing 9zuo,2019k 1.5t sdczhhx 9z
2019款 1.5T 手动长轴豪华型 7座,2019kuan 1.5t shoudongchangzhouhaohuaxing 7zuo,2019k 1.5t sdczhhx 7z
2019款 1.5T 手动新劲色版 国VI,2019kuan 1.5t shoudongxinjinseban guovi,2019k 1.5t sdxjsb gvi
2019款 1.5T 手动新劲色版 国V,2019kuan 1.5t shoudongxinjinseban guov,2019k 1.5t sdxjsb gv
2019款 1.5T 手动两驱都市型 国VI,2019kuan 1.5t shoudongliangqudushixing guovi,2019k 1.5t sdlqdsx gvi
2019款 1.5T 手动两驱都市型 国V,2019kuan 1.5t shoudongliangqudushixing guov,2019k 1.5t sdlqdsx gv
2019款 1.5T 手动都市型 7座,2019kuan 1.5t shoudongdushixing 7zuo,2019k 1.5t sddsx 7z
2019款 1.5T 手动都市型 5座,2019kuan 1.5t shoudongdushixing 5zuo,2019k 1.5t sddsx 5z
2019款 1.5T 三角门 国VI,2019kuan 1.5t sanjiaomen guovi,2019k 1.5t sjm gvi
2019款 1.5T 三角门 国V,2019kuan 1.5t sanjiaomen guov,2019k 1.5t sjm gv
2019款 1.5T 劲享型 7座,2019kuan 1.5t jinxiangxing 7zuo,2019k 1.5t jxx 7z
2019款 1.5T 劲享型 6座,2019kuan 1.5t jinxiangxing 6zuo,2019k 1.5t jxx 6z
2019款 1.5T 劲尚型 7座,2019kuan 1.5t jinshangxing 7zuo,2019k 1.5t jsx 7z
2019款 1.5T 劲尚型 6座,2019kuan 1.5t jinshangxing 6zuo,2019k 1.5t jsx 6z
2019款 1.5T 劲风型 7座,2019kuan 1.5t jinfengxing 7zuo,2019k 1.5t jfx 7z
2019款 1.5T 劲风型 6座,2019kuan 1.5t jinfengxing 6zuo,2019k 1.5t jfx 6z
2019款 1.5T 角斗士 国V,2019kuan 1.5t juedoushi guov,2019k 1.5t jds gv
2019款 1.5T PHEV 劲Pro 国VI,2019kuan 1.5t phev jinpro guovi,2019k 1.5t phev jpro gvi
2019款 1.5T PHEV 劲Lite 国VI,2019kuan 1.5t phev jinlite guovi,2019k 1.5t phev jlite gvi
2019款 1.5T PHEV 劲 国VI,2019kuan 1.5t phev jin guovi,2019k 1.5t phev j gvi
2019款 1.5T DCT两驱劲版 国VI,2019kuan 1.5t dctliangqujinban guovi,2019k 1.5t dctlqjb gvi
2019款 1.5T DCT两驱劲Pro版 国VI,2019kuan 1.5t dctliangqujinproban guovi,2019k 1.5t dctlqjprob gvi
2019款 1.5T DCT两驱都市型 国VI,2019kuan 1.5t dctliangqudushixing guovi,2019k 1.5t dctlqdsx gvi
2019款 1.5T DCT两驱都市型 国V,2019kuan 1.5t dctliangqudushixing guov,2019k 1.5t dctlqdsx gv
2019款 1.5T DCT劲行版,2019kuan 1.5t dctjinxingban,2019k 1.5t dctjxb
2019款 1.5T CVT新劲色版 国VI,2019kuan 1.5t cvtxinjinseban guovi,2019k 1.5t cvtxjsb gvi
2019款 1.5T CVT新劲色版 国V,2019kuan 1.5t cvtxinjinseban guov,2019k 1.5t cvtxjsb gv
2019款 1.5L中配型双排后双轮加长货箱DK15C,2019kuan 1.5lzhongpeixingshuangpaihoushuanglunjiachanghuoxiangdk15c,2019k 1.5lzpxsphsljchxdk15c
2019款 1.5L中配型双排后单轮加长货箱DK15C,2019kuan 1.5lzhongpeixingshuangpaihoudanlunjiachanghuoxiangdk15c,2019k 1.5lzpxsphdljchxdk15c
2019款 1.5L厢货舒适型 国VI 双排加长DAM15KR,2019kuan 1.5lxianghuoshushixing guovi shuangpaijiachangdam15kr,2019k 1.5lxhssx gvi spjcdam15kr
2019款 1.5L厢货基本型 国VI 单排加长DAM15KR,2019kuan 1.5lxianghuojibenxing guovi danpaijiachangdam15kr,2019k 1.5lxhjbx gvi dpjcdam15kr
2019款 1.5L厢货标准型 国VI 双排加长DAM15KR,2019kuan 1.5lxianghuobiaozhunxing guovi shuangpaijiachangdam15kr,2019k 1.5lxhbzx gvi spjcdam15kr
2019款 1.5L厢货标准型 国VI 单排加长DAM15KR,2019kuan 1.5lxianghuobiaozhunxing guovi danpaijiachangdam15kr,2019k 1.5lxhbzx gvi dpjcdam15kr
2019款 1.5L双排加长舒适型国VIDAM15KR,2019kuan 1.5lshuangpaijiachangshushixingguovidam15kr,2019k 1.5lspjcssxgvidam15kr
2019款 1.5L双排加长舒适型DAM15R,2019kuan 1.5lshuangpaijiachangshushixingdam15r,2019k 1.5lspjcssxdam15r
2019款 1.5L双排加长舒适型DAM15DR,2019kuan 1.5lshuangpaijiachangshushixingdam15dr,2019k 1.5lspjcssxdam15dr
2019款 1.5L双排加长实用型DAM15R,2019kuan 1.5lshuangpaijiachangshiyongxingdam15r,2019k 1.5lspjcsyxdam15r
2019款 1.5L双排加长实用型DAM15DR,2019kuan 1.5lshuangpaijiachangshiyongxingdam15dr,2019k 1.5lspjcsyxdam15dr
2019款 1.5L双排加长标准型国VIDAM15KR,2019kuan 1.5lshuangpaijiachangbiaozhunxingguovidam15kr,2019k 1.5lspjcbzxgvidam15kr
2019款 1.5L双排加长标准型DAM15R,2019kuan 1.5lshuangpaijiachangbiaozhunxingdam15r,2019k 1.5lspjcbzxdam15r
2019款 1.5L双排加长标准型DAM15DR,2019kuan 1.5lshuangpaijiachangbiaozhunxingdam15dr,2019k 1.5lspjcbzxdam15dr
2019款 1.5L舒适型双排后双轮加长货箱DK15C,2019kuan 1.5lshushixingshuangpaihoushuanglunjiachanghuoxiangdk15c,2019k 1.5lssxsphsljchxdk15c
2019款 1.5L舒适型双排后单轮加长货箱DK15C,2019kuan 1.5lshushixingshuangpaihoudanlunjiachanghuoxiangdk15c,2019k 1.5lssxsphdljchxdk15c
2019款 1.5L舒适型仓栅车双排920kg,2019kuan 1.5lshushixingcangshancheshuangpai920kg,2019k 1.5lssxcscsp920kg
2019款 1.5L舒适型仓栅车单排910kg,2019kuan 1.5lshushixingcangshanchedanpai910kg,2019k 1.5lssxcscdp910kg
2019款 1.5L舒适型仓栅车单排1310kg,2019kuan 1.5lshushixingcangshanchedanpai1310kg,2019k 1.5lssxcscdp1310kg
2019款 1.5L舒适版国VI双排长轴DAM15KL,2019kuan 1.5lshushibanguovishuangpaichangzhoudam15kl,2019k 1.5lssbgvispczdam15kl
2019款 1.5L精英版国VI双排长轴DAM15KL,2019kuan 1.5ljingyingbanguovishuangpaichangzhoudam15kl,2019k 1.5ljybgvispczdam15kl
2019款 1.5L劲享版国VI LAR,2019kuan 1.5ljinxiangbanguovi lar,2019k 1.5ljxbgvi lar
2019款 1.5L劲享版L2B,2019kuan 1.5ljinxiangbanl2b,2019k 1.5ljxbl2b
2019款 1.5L劲取版国VI LAR,2019kuan 1.5ljinqubanguovi lar,2019k 1.5ljqbgvi lar
2019款 1.5L劲取版封窗车国VI LAR,2019kuan 1.5ljinqubanfengchuangcheguovi lar,2019k 1.5ljqbfccgvi lar
2019款 1.5L劲取版封窗车L2B,2019kuan 1.5ljinqubanfengchuangchel2b,2019k 1.5ljqbfccl2b
2019款 1.5L劲取版L2B,2019kuan 1.5ljinqubanl2b,2019k 1.5ljqbl2b
2019款 1.5L国VI致富型加长版JKC1030SS6FL SWC15M,2019kuan 1.5lguovizhifuxingjiachangbanjkc1030ss6fl swc15m,2019k 1.5lgvizfxjcbjkc1030ss6fl swc15m
2019款 1.5L国VI致富型加长版JKC1021SS6FL SWC15M,2019kuan 1.5lguovizhifuxingjiachangbanjkc1021ss6fl swc15m,2019k 1.5lgvizfxjcbjkc1021ss6fl swc15m
2019款 1.5L国VI舒适型加长版JKC1030SS6FL SWC15M,2019kuan 1.5lguovishushixingjiachangbanjkc1030ss6fl swc15m,2019k 1.5lgvissxjcbjkc1030ss6fl swc15m
2019款 1.5L国VI舒适型加长版JKC1021SS6FL SWC15M,2019kuan 1.5lguovishushixingjiachangbanjkc1021ss6fl swc15m,2019k 1.5lgvissxjcbjkc1021ss6fl swc15m
2019款 1.5L国VI仓栅车双排920kg,2019kuan 1.5lguovicangshancheshuangpai920kg,2019k 1.5lgvicscsp920kg
2019款 1.5L国VI仓栅车双排495kg,2019kuan 1.5lguovicangshancheshuangpai495kg,2019k 1.5lgvicscsp495kg
2019款 1.5L国VI仓栅车单排910kg,2019kuan 1.5lguovicangshanchedanpai910kg,2019k 1.5lgvicscdp910kg
2019款 1.5L国VI仓栅车单排595kg,2019kuan 1.5lguovicangshanchedanpai595kg,2019k 1.5lgvicscdp595kg
2019款 1.5L国VI标准型加长版JKC1030SS6FL SWC15M,2019kuan 1.5lguovibiaozhunxingjiachangbanjkc1030ss6fl swc15m,2019k 1.5lgvibzxjcbjkc1030ss6fl swc15m
2019款 1.5L国VI标准型加长版JKC1021SS6FL SWC15M,2019kuan 1.5lguovibiaozhunxingjiachangbanjkc1021ss6fl swc15m,2019k 1.5lgvibzxjcbjkc1021ss6fl swc15m
2019款 1.5L国VI 双排仓栅DAM15KR,2019kuan 1.5lguovi shuangpaicangshandam15kr,2019k 1.5lgvi spcsdam15kr
2019款 1.5L国VI 单排仓栅DAM15KR,2019kuan 1.5lguovi danpaicangshandam15kr,2019k 1.5lgvi dpcsdam15kr
2019款 1.5L国VI T20L双排仓栅DAM15KR,2019kuan 1.5lguovi t20lshuangpaicangshandam15kr,2019k 1.5lgvi t20lspcsdam15kr
2019款 1.5L国VI T20L单排仓栅DAM15KR,2019kuan 1.5lguovi t20ldanpaicangshandam15kr,2019k 1.5lgvi t20ldpcsdam15kr
2019款 1.5L单排加长基本型DAM15DR,2019kuan 1.5ldanpaijiachangjibenxingdam15dr,2019k 1.5ldpjcjbxdam15dr
2019款 1.5L单排加长基本型 国VI DAM15KR,2019kuan 1.5ldanpaijiachangjibenxing guovi dam15kr,2019k 1.5ldpjcjbx gvi dam15kr
2019款 1.5L单排加长标准型DAM15DR,2019kuan 1.5ldanpaijiachangbiaozhunxingdam15dr,2019k 1.5ldpjcbzxdam15dr
2019款 1.5L单排加长标准型 国VI DAM15KR,2019kuan 1.5ldanpaijiachangbiaozhunxing guovi dam15kr,2019k 1.5ldpjcbzx gvi dam15kr
2019款 1.5L仓栅致富版 国VI T72L 双排DAM15KR,2019kuan 1.5lcangshanzhifuban guovi t72l shuangpaidam15kr,2019k 1.5lcszfb gvi t72l spdam15kr
2019款 1.5L仓栅致富版 国VI T70L 单排DAM15KR,2019kuan 1.5lcangshanzhifuban guovi t70l danpaidam15kr,2019k 1.5lcszfb gvi t70l dpdam15kr
2019款 1.5L仓栅幸福版 国VI T72L 双排DAM15KR,2019kuan 1.5lcangshanxingfuban guovi t72l shuangpaidam15kr,2019k 1.5lcsxfb gvi t72l spdam15kr
2019款 1.5L仓栅幸福版 国VI T70L 单排DAM15KR,2019kuan 1.5lcangshanxingfuban guovi t70l danpaidam15kr,2019k 1.5lcsxfb gvi t70l dpdam15kr
2019款 1.5L仓栅舒适型 国VI 双排加长DAM15KR,2019kuan 1.5lcangshanshushixing guovi shuangpaijiachangdam15kr,2019k 1.5lcsssx gvi spjcdam15kr
2019款 1.5L仓栅基本型 国VI 单排加长DAM15KR,2019kuan 1.5lcangshanjibenxing guovi danpaijiachangdam15kr,2019k 1.5lcsjbx gvi dpjcdam15kr
2019款 1.5L仓栅标准型 国VI 双排加长DAM15KR,2019kuan 1.5lcangshanbiaozhunxing guovi shuangpaijiachangdam15kr,2019k 1.5lcsbzx gvi spjcdam15kr
2019款 1.5L仓栅标准型 国VI 单排加长DAM15KR,2019kuan 1.5lcangshanbiaozhunxing guovi danpaijiachangdam15kr,2019k 1.5lcsbzx gvi dpjcdam15kr
2019款 1.5L标准型双排后双轮加长货箱DK15C,2019kuan 1.5lbiaozhunxingshuangpaihoushuanglunjiachanghuoxiangdk15c,2019k 1.5lbzxsphsljchxdk15c
2019款 1.5L标准型双排后单轮加长货箱DK15C,2019kuan 1.5lbiaozhunxingshuangpaihoudanlunjiachanghuoxiangdk15c,2019k 1.5lbzxsphdljchxdk15c
2019款 1.5L标准型双排仓栅车DAM15R1,2019kuan 1.5lbiaozhunxingshuangpaicangshanchedam15r1,2019k 1.5lbzxspcscdam15r1
2019款 1.5L标准型国VI双排仓栅车DAM15KR,2019kuan 1.5lbiaozhunxingguovishuangpaicangshanchedam15kr,2019k 1.5lbzxgvispcscdam15kr
2019款 1.5L标准型国VI单排仓栅车DAM15KR,2019kuan 1.5lbiaozhunxingguovidanpaicangshanchedam15kr,2019k 1.5lbzxgvidpcscdam15kr
2019款 1.5L标准型单排仓栅车DAM15R1,2019kuan 1.5lbiaozhunxingdanpaicangshanchedam15r1,2019k 1.5lbzxdpcscdam15r1
2019款 1.5L标准型仓栅后双轮SWCG14,2019kuan 1.5lbiaozhunxingcangshanhoushuanglunswcg14,2019k 1.5lbzxcshslswcg14
2019款 1.5L标准型仓栅车双排920kg,2019kuan 1.5lbiaozhunxingcangshancheshuangpai920kg,2019k 1.5lbzxcscsp920kg
2019款 1.5L标准型仓栅车单排910kg,2019kuan 1.5lbiaozhunxingcangshanchedanpai910kg,2019k 1.5lbzxcscdp910kg
2019款 1.5L标准型仓栅车单排1310kg,2019kuan 1.5lbiaozhunxingcangshanchedanpai1310kg,2019k 1.5lbzxcscdp1310kg
2019款 1.5L标准版国VI双排长轴DAM15KL,2019kuan 1.5lbiaozhunbanguovishuangpaichangzhoudam15kl,2019k 1.5lbzbgvispczdam15kl
2019款 1.5L 自动劲尚型,2019kuan 1.5l zidongjinshangxing,2019k 1.5l zdjsx
2019款 1.5L 手动劲享型 国VI,2019kuan 1.5l shoudongjinxiangxing guovi,2019k 1.5l sdjxx gvi
2019款 1.5L 手动劲享型 国V,2019kuan 1.5l shoudongjinxiangxing guov,2019k 1.5l sdjxx gv
2019款 1.5L 手动劲尚型,2019kuan 1.5l shoudongjinshangxing,2019k 1.5l sdjsx
2019款 1.5L 加长厢式运输车基本型5座,2019kuan 1.5l jiachangxiangshiyunshuchejibenxing5zuo,2019k 1.5l jcxsyscjbx5z
2019款 1.5L 加长厢式运输车基本型2座,2019kuan 1.5l jiachangxiangshiyunshuchejibenxing2zuo,2019k 1.5l jcxsyscjbx2z
2019款 1.5L 加长基本型,2019kuan 1.5l jiachangjibenxing,2019k 1.5l jcjbx
2019款 1.5L CVT劲享型 国VI,2019kuan 1.5l cvtjinxiangxing guovi,2019k 1.5l cvtjxx gvi
2019款 1.5GDIT 自动都市版 国VI,2019kuan 1.5gdit zidongdushiban guovi,2019k 1.5gdit zddsb gvi
2019款 1.5GDIT 自动都市版 国V,2019kuan 1.5gdit zidongdushiban guov,2019k 1.5gdit zddsb gv
2019款 1.5GDIT 手动都市版 国V,2019kuan 1.5gdit shoudongdushiban guov,2019k 1.5gdit sddsb gv
2019款 1.5G CVT劲速天窗升级版 国VI,2019kuan 1.5g cvtjinsutianchuangshengjiban guovi,2019k 1.5g cvtjstcsjb gvi
2019款 1.5E CVT劲速升级版 国VI,2019kuan 1.5e cvtjinsushengjiban guovi,2019k 1.5e cvtjssjb gvi
2019款 1.3L双排加长舒适型ACTECO-SQR472WD,2019kuan 1.3lshuangpaijiachangshushixingacteco-sqr472wd,2019k 1.3lspjcssxacteco-sqr472wd
2019款 1.3L双排加长实用型ACTECO-SQR472WD,2019kuan 1.3lshuangpaijiachangshiyongxingacteco-sqr472wd,2019k 1.3lspjcsyxacteco-sqr472wd
2019款 1.3L双排加长标准型ACTECO-SQR472WD,2019kuan 1.3lshuangpaijiachangbiaozhunxingacteco-sqr472wd,2019k 1.3lspjcbzxacteco-sqr472wd
2019款 1.3L单排加长基本型ACTECO-SQR472WD,2019kuan 1.3ldanpaijiachangjibenxingacteco-sqr472wd,2019k 1.3ldpjcjbxacteco-sqr472wd
2019款 1.3L单排加长标准型ACTECO-SQR472WD,2019kuan 1.3ldanpaijiachangbiaozhunxingacteco-sqr472wd,2019k 1.3ldpjcbzxacteco-sqr472wd
2019款 1.3L标准型仓栅后双轮SWCG12,2019kuan 1.3lbiaozhunxingcangshanhoushuanglunswcg12,2019k 1.3lbzxcshslswcg12
2019款 1.2L 加长厢式运输车实用型5座,2019kuan 1.2l jiachangxiangshiyunshucheshiyongxing5zuo,2019k 1.2l jcxsyscsyx5z
2019款 1.2L 加长厢式运输车实用型2座,2019kuan 1.2l jiachangxiangshiyunshucheshiyongxing2zuo,2019k 1.2l jcxsyscsyx2z
2019款 1.2L 加长基本型,2019kuan 1.2l jiachangjibenxing,2019k 1.2l jcjbx
2019款 1.2L 加长版,2019kuan 1.2l jiachangban,2019k 1.2l jcb
2019款 1.0TD 手动劲享版,2019kuan 1.0td shoudongjinxiangban,2019k 1.0td sdjxb
2019款 1.0TD DCT劲享版,2019kuan 1.0td dctjinxiangban,2019k 1.0td dctjxb
2018款 运动版 1.5T 自动都市型 7座,2018kuan yundongban 1.5t zidongdushixing 7zuo,2018k ydb 1.5t zddsx 7z
2018款 运动版 1.5T 自动都市型 5座,2018kuan yundongban 1.5t zidongdushixing 5zuo,2018k ydb 1.5t zddsx 5z
2018款 运动版 1.5T 手动都市型 7座,2018kuan yundongban 1.5t shoudongdushixing 7zuo,2018k ydb 1.5t sddsx 7z
2018款 运动版 1.5T 手动都市型 5座,2018kuan yundongban 1.5t shoudongdushixing 5zuo,2018k ydb 1.5t sddsx 5z
